"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.119666665E-3,-1.914597675E-3,-3.234142486E-2,-6.956023157E-2,7.673499372E-2
1.620466667E-2,-2.479796849E-2,-4.043905109E-2,-5.866803825E-2,7.544663549E-2
2.629066666E-2,-3.850873902E-2,-2.698994346E-2,-3.982538581E-2,6.162338342E-2
3.637566667E-2,-4.022387356E-2,-7.640593238E-3,-3.642172158E-2,5.479854443E-2
4.646066666E-2,-1.993578941E-2,-3.289789706E-4,-2.539445758E-3,2.009956993E-2
5.654666667E-2,-5.547757812E-2,-6.877021106E-3,-2.070966840E-2,5.961497680E-2
6.663166666E-2,-5.564393140E-2,4.188324027E-3,-7.846612573E-2,9.628458883E-2
7.671666667E-2,-1.302072600E-2,-7.848315574E-3,-7.211020231E-2,7.369543161E-2
8.680166666E-2,7.416462153E-3,3.979284925E-3,-3.234445810E-2,3.342158867E-2
9.688766667E-2,1.940617785E-2,-1.714520574E-2,-6.940235674E-2,7.407594036E-2
1.069726667E-1,1.020470694E-2,-1.921219647E-2,-9.900330126E-2,1.013651725E-1
1.170576667E-1,-6.658955365E-3,-2.436096221E-4,-1.002399874E-1,1.004612169E-1
1.271426667E-1,-4.341703802E-3,-7.934050374E-3,-6.606008828E-2,6.667634371E-2
1.372286667E-1,-2.841337502E-2,6.102227345E-3,-4.975980520E-3,2.948418967E-2
1.473136667E-1,-3.825599313E-2,8.038094267E-3,2.623470247E-2,4.707856819E-2
1.573986667E-1,-8.646789417E-3,2.409270977E-3,1.304513812E-3,9.070463612E-3
1.674846667E-1,1.527775124E-2,-6.999372952E-3,-2.999621630E-4,1.680746506E-2
1.775696667E-1,2.373092473E-3,-3.056267673E-3,1.728203058E-2,1.770991025E-2
1.876546667E-1,3.645051911E-2,-4.877345301E-3,3.010263562E-2,4.752470423E-2
1.977396667E-1,5.010069788E-2,-1.477240562E-2,1.892685235E-2,5.555654449E-2
2.078256667E-1,1.640567914E-2,-1.469335858E-2,2.989505947E-2,3.713159941E-2
2.179106667E-1,3.023105510E-2,-1.502650369E-2,5.325527072E-2,6.305423352E-2
2.279956667E-1,2.306127235E-2,-1.314026501E-2,3.413779914E-2,4.324208803E-2
2.380806667E-1,2.023575157E-3,-1.978515051E-2,-1.467534184E-2,2.471664814E-2
2.481666667E-1,3.853826746E-3,-2.807745248E-2,-2.317953229E-2,3.661264857E-2
2.582516667E-1,1.387398094E-3,-1.183034252E-2,4.545625448E-3,1.274929757E-2
2.683366667E-1,-3.432315588E-2,-1.272010716E-2,-2.364614010E-2,4.357774773E-2
2.784226667E-1,-2.800721280E-2,-1.642281993E-2,-9.445124388E-2,9.987567498E-2
2.885076667E-1,-1.145747289E-2,-4.985189885E-3,-8.374674618E-2,8.467374622E-2
2.985926667E-1,8.419990540E-3,-7.229680158E-3,-3.672870040E-2,3.836876267E-2
3.086776667E-1,-1.576701701E-3,-1.188318674E-2,-5.345699966E-2,5.478455008E-2
3.187636667E-1,5.579047725E-3,-3.589678779E-3,-6.991983533E-2,7.023385893E-2
3.288486667E-1,-1.471729562E-2,-1.743968613E-3,-8.524655700E-2,8.652523156E-2
3.389336667E-1,-3.757486559E-2,-1.707351567E-3,-1.063386333E-1,1.127949046E-1
3.490186667E-1,-3.333673060E-2,9.746065959E-3,-8.347426593E-2,9.041170545E-2
3.591046667E-1,-2.102666058E-2,1.019768914E-2,-5.406744897E-2,5.890163289E-2
3.691896667E-1,-3.062544979E-2,5.191814726E-3,-1.344801128E-2,3.384851729E-2
3.792746667E-1,-2.013963796E-2,-8.712362743E-4,-1.904496610E-2,2.773219796E-2
3.893596667E-1,-5.922864005E-3,-9.333142899E-3,-3.014765918E-2,3.211026672E-2
3.994456667E-1,-2.931136116E-3,-1.350516781E-2,-1.423563123E-2,1.984021958E-2
4.095306667E-1,-1.130939215E-2,-2.547993656E-2,1.769308984E-2,3.301779742E-2
4.196156667E-1,2.973221451E-2,-2.646555785E-2,3.184569061E-2,5.097625273E-2
4.297016667E-1,2.926158674E-2,-3.751456618E-2,3.832323611E-2,6.109217266E-2
4.397866667E-1,1.159510173E-2,-3.274192259E-2,4.470137894E-2,5.661000935E-2
4.498716667E-1,2.127801776E-2,-4.156029124E-2,-2.361748874E-2,5.232396795E-2
4.599566667E-1,-4.440229386E-3,-1.262357580E-1,-2.157681048E-2,1.281434391E-1
4.700426667E-1,-4.089089468E-2,-1.310113252E-1,2.169667840E-2,1.389488339E-1
4.801276667E-1,-4.450169653E-2,-2.351282358E-2,1.546647012E-2,5.265420747E-2
4.902126667E-1,1.402052678E-2,4.766036242E-2,-2.413028955E-2,5.523002980E-2
5.002976667E-1,3.238977402E-2,1.160445362E-1,-8.055358171E-2,1.449286423E-1
5.103836667E-1,8.499220312E-3,9.484479804E-2,-5.998892426E-2,1.125452953E-1
5.204686667E-1,-1.588980854E-4,3.583604984E-2,-4.406052411E-2,5.679416785E-2
5.305536667E-1,-1.226599663E-2,8.206055537E-3,-1.589857936E-2,2.169236839E-2
5.406396667E-1,-3.308822393E-2,5.648044869E-3,-8.472030759E-3,3.461944943E-2
5.507246667E-1,-2.582444720E-2,-2.444099598E-3,-2.100144446E-2,3.337568524E-2
5.608096667E-1,1.383582786E-2,-9.109048359E-3,-3.485466778E-2,3.859083778E-2
5.708946667E-1,2.590886638E-2,-2.357524261E-3,-5.742608964E-2,6.304429434E-2
5.809806667E-1,1.812015586E-2,-6.325921031E-3,-5.851425648E-2,6.158145448E-2
5.910656667E-1,6.817707270E-2,-6.576985853E-3,-3.752275229E-2,7.809818772E-2
6.011504167E-1,5.195178017E-2,-1.101220742E-2,-5.009075761E-2,7.300232991E-2
6.112354167E-1,2.419380493E-2,-1.238758218E-2,-4.820678473E-2,5.534154392E-2
6.213214167E-1,-2.115961164E-2,-2.395147439E-2,-3.885825634E-2,5.031268604E-2
6.314064167E-1,-1.683018699E-2,-1.688372556E-2,3.504821062E-3,2.409562520E-2
6.414914167E-1,-5.717327066E-2,-2.170793429E-2,7.213125229E-3,6.157959455E-2
6.515764167E-1,7.280295119E-3,-2.227474876E-2,-2.037813127E-2,3.105535965E-2
6.616624167E-1,7.572363541E-3,-1.013527239E-2,-2.680071294E-2,2.963684616E-2
6.717474167E-1,4.374440901E-2,-1.341965228E-2,-3.657959640E-2,5.858094622E-2
6.818324167E-1,-9.591114745E-3,-1.456903330E-2,-8.673525810E-2,8.847175375E-2
6.919184167E-1,-1.726302713E-2,-1.374051824E-2,-1.550681591E-2,2.696804196E-2
7.020034167E-1,1.638462916E-3,-8.553928323E-3,-4.189588487E-2,4.279158118E-2
7.120884167E-1,-1.857075691E-2,-3.158629350E-3,-2.018985093E-2,2.761304098E-2
7.221734167E-1,1.038026959E-3,6.312507838E-3,-1.470457792E-2,1.603589309E-2
7.322594167E-1,-1.839475572E-2,2.385590896E-3,-2.938810587E-2,3.475224955E-2
7.423444167E-1,-1.876101069E-2,6.926939426E-3,9.472489357E-5,1.999917460E-2
7.524294167E-1,-9.520655796E-3,1.507558376E-2,-6.881003380E-3,1.911188949E-2
7.625144167E-1,4.151157662E-3,5.210087275E-3,-2.229543328E-3,7.024811941E-3
7.726004167E-1,-9.548722431E-3,9.797265641E-3,-3.825190008E-2,4.062477537E-2
7.826854167E-1,-1.619707972E-2,6.145094745E-3,-6.172788620E-2,6.411270947E-2
7.927704167E-1,-2.332256980E-2,6.238539418E-3,-1.362284303E-2,2.772081327E-2
8.028564167E-1,-1.213933133E-2,3.737978786E-3,1.213180304E-2,1.756463764E-2
8.129414167E-1,-1.115180969E-2,-7.814547904E-3,-6.530170441E-3,1.510209073E-2
8.230264167E-1,-2.930690266E-2,-2.050022844E-2,4.360853434E-3,3.603013950E-2
8.331114167E-1,-1.068461716E-2,-1.631011371E-2,7.090333700E-3,2.074737779E-2
8.431974167E-1,-8.705188483E-3,-5.027936686E-2,-5.023927689E-3,5.127411518E-2
8.532824167E-1,3.243742883E-3,5.006532222E-3,-3.721811235E-2,3.769317073E-2
8.633674167E-1,4.248477258E-2,4.351856031E-2,-1.585414052E-2,6.285041578E-2
8.734524167E-1,3.068523757E-2,1.281274784E-2,-4.727298439E-2,5.779693214E-2
8.835384167E-1,1.363673016E-2,-1.338902749E-2,-5.198876381E-2,5.539005352E-2
8.936234167E-1,5.353272110E-3,-3.527175698E-2,-5.557193756E-2,6.603782709E-2
9.037084167E-1,-3.986931302E-2,-2.733818170E-2,5.999769509E-2,7.704973533E-2
9.137934167E-1,-7.353312224E-3,-1.174701970E-2,-2.923607826E-3,1.416372674E-2
9.238794167E-1,1.114676647E-2,7.974577745E-3,-8.278663337E-2,8.391347304E-2
9.339644167E-1,2.949540228E-2,7.311113600E-2,-7.379946291E-2,1.079887850E-1
9.440494167E-1,3.611934744E-2,1.012844097E-1,-3.787709355E-2,1.140079520E-1
9.541344167E-1,4.994274996E-2,9.655518170E-2,-4.888740063E-2,1.191937890E-1
9.642204167E-1,5.214334957E-2,1.049127167E-1,-7.860879779E-2,1.410849039E-1
9.743054167E-1,5.591641165E-2,9.595339358E-2,-2.423787832E-2,1.136713402E-1
9.843904167E-1,-8.430734798E-3,-2.283757981E-2,-3.397056878E-2,4.179272525E-2
9.944764167E-1,-4.200025767E-2,-3.549771532E-2,-2.249891639E-2,5.941641757E-2
1.004561417E0,-5.265476167E-2,-4.176585741E-2,1.812753797E-2,6.960975797E-2
1.014646417E0,-7.143141367E-2,-1.097953976E-1,1.351934731E-2,1.316823790E-1
1.024731417E0,-4.666370451E-2,-6.406790536E-2,-1.637161911E-2,8.093347718E-2
1.034817417E0,-4.856112599E-3,-6.800037716E-2,-4.242154956E-2,8.029458880E-2
1.044902417E0,2.237400524E-2,-8.517529406E-2,-3.573642790E-2,9.503956601E-2
1.054987417E0,-1.584522352E-2,-1.034936340E-1,-3.860156357E-2,1.115889067E-1
1.065072417E0,-1.236803055E-2,-6.908510875E-2,-2.114294708E-2,7.329900846E-2
1.075158417E0,2.163806006E-2,-2.214589074E-2,-2.566167533E-2,4.021402369E-2
1.085243417E0,-1.479038581E-2,8.439469077E-3,-2.227906108E-2,2.804169598E-2
1.095328417E0,2.366083123E-2,1.376463801E-1,-3.375831485E-2,1.436871069E-1
1.105413417E0,3.288612954E-2,2.909695838E-1,-1.940164626E-2,2.934641718E-1
1.115499417E0,3.786627620E-2,2.468877539E-1,-6.134080052E-2,2.571966402E-1
1.125584417E0,4.537088513E-2,1.325768441E-2,-1.025320959E-1,1.129031182E-1
1.135669417E0,-1.419850141E-2,-1.813837724E-1,-8.286089301E-3,1.821272347E-1
1.145754417E0,-3.007822350E-2,-8.746305373E-2,6.871589363E-2,1.152230851E-1
1.155840417E0,-4.467199668E-2,-1.292797088E-1,2.531259656E-2,1.391026885E-1
1.165925417E0,6.377558112E-3,-1.658841559E-1,-2.028223693E-2,1.672411300E-1
1.176010417E0,7.797773704E-3,-1.054513914E-1,-8.612363935E-3,1.060894624E-1
1.186095417E0,6.959575340E-3,-5.404095378E-2,2.498515248E-3,5.454450433E-2
1.196181417E0,2.562768839E-2,-6.237053175E-2,-4.095740676E-2,7.889468177E-2
1.206266417E0,3.667417511E-2,-2.512226969E-2,-6.062744021E-2,7.517852128E-2
1.216351417E0,4.502429143E-3,-2.199685983E-2,-4.883594513E-3,2.297788515E-2
